# input_path:./LR04_2000ka.txt
# method:1
# n50:3
# sample_number_of_AR1:100
# confidence_level:[0.99, 0.95, 0.9]
# output_path:./result.txt
# #################################################### 
# Freq 	 PSD	99.0%confidence_level	95.0%confidence_level	90.0%confidence_level
5.976312752810641199e-02 5.541770411769247895e-01 2.673823563716842600e+00 1.853388801829027654e+00 1.585913552178534136e+00
6.257333991584514143e-02 2.439216265908698278e-01 2.631049514573824410e+00 1.768427781856155789e+00 1.339551591595513180e+00
6.551569554960938457e-02 1.359215593894481655e+00 2.236424366037843114e+00 1.727339582614649593e+00 1.281897841381890668e+00
6.859640813678524740e-02 6.896555717522815376e-01 2.383583054953656966e+00 1.449249794838493477e+00 1.293894806528261610e+00
7.182198356888953861e-02 3.562508935669606025e-01 2.005191146889852671e+00 1.427708385597232343e+00 1.088267220186618811e+00
7.519923366080177862e-02 1.224044126057706183e-01 1.751728766813631655e+00 1.342727793245899637e+00 1.028712512855912919e+00
7.873529053604917671e-02 4.551780419612039275e-01 1.203512544189270894e+00 1.041845167984335685e+00 8.637729198393584440e-01
8.243762168852365735e-02 1.839296870697362529e-01 1.519082661017926217e+00 9.751596341602050133e-01 8.026167414480829265e-01
8.631404575243924182e-02 3.902215274556249391e-01 1.604594739595282427e+00 9.343303987027040680e-01 7.942006687079947724e-01
9.037274901383197945e-02 2.655495953363905537e-01 1.219962187128340592e+00 8.914357310774182475e-01 7.664835439447033050e-01
9.462230269847196618e-02 2.815698214714334457e-01 1.085133706595601710e+00 9.102912649551175850e-01 7.085336741074309552e-01
9.907168107269699597e-02 1.590531046847191987e-01 7.676611124050527479e-01 6.540450979809916410e-01 5.562411045011388389e-01
1.037302803953924352e-01 1.002073458126342270e-01 8.937960097905421897e-01 6.706451134574837880e-01 5.892968547854058325e-01
1.086079387611406238e-01 6.412726456951417520e-02 1.248981208714405433e+00 7.481633286254649740e-01 6.073139605989463785e-01
1.137149568764456858e-01 9.542605572898928135e-02 8.576124652686789585e-01 7.137641132368006680e-01 5.755369392036967513e-01
1.190621198129080405e-01 1.385964020918979966e-01 7.615438371081292290e-01 5.554940554290385135e-01 4.316664002028153257e-01
1.246607197832880209e-01 1.091378196188343558e-01 9.037339859168951328e-01 5.634783294035808909e-01 4.712095972558922874e-01
1.305225799885570137e-01 1.303007293347231976e-01 7.273841752418344075e-01 5.452675451700755849e-01 4.335827082909650132e-01
1.366600795862974171e-01 1.018417124067817620e-01 4.894028467437330776e-01 4.082679003556385910e-01 3.426875309622777199e-01
1.430861798331789780e-01 3.609061418680233752e-02 7.323930261819303622e-01 4.835445705553981233e-01 3.740499937218519921e-01
1.498144514567198160e-01 9.933642057094456412e-02 5.426536650205274759e-01 4.721857547782979392e-01 3.477518957177881398e-01
1.568591033141373825e-01 9.798312444736766158e-02 4.692521132313243193e-01 3.748448837357291064e-01 3.377622313051283354e-01
1.642350123988095822e-01 9.543081665492882115e-02 4.711643365531089644e-01 3.765798573187840725e-01 2.997423709390418800e-01
1.719577552577153390e-01 5.131896252820997845e-02 3.775839115268385671e-01 3.403797115863574363e-01 2.770623549739303915e-01
1.800436408862027549e-01 9.245222601072582147e-02 3.325170826246844902e-01 3.015502332524582774e-01 2.579360312320048698e-01
1.885097451695511295e-01 5.376992144035286358e-02 3.431493887420196121e-01 2.824965758723981257e-01 2.298057604984231339e-01
1.973739469440617400e-01 1.954559976956462761e-02 3.580111230157510538e-01 2.884901998447660931e-01 2.329317628648394090e-01
