time	insolation_65N
1336	515.6675254
1335	508.0716173
1334	498.8953194
1333	489.2037314
1332	480.1011639
1331	472.4432317
1330	467.0734485
1329	464.3153164
1328	464.5229676
1327	467.4898593
1326	473.0421557
1325	480.5003802
1324	489.2790874
1323	498.5331309
1322	507.4160763
1321	515.2089455
1320	521.2210984
1319	524.9783527
1318	526.2917985
1317	525.1381689
1316	521.766196
1315	516.6027839
1314	510.2018334
1313	503.1137919
1312	496.0338449
1311	489.3883505
1310	483.6590962
1309	479.0442222
1308	475.7346877
1307	473.5836746
1306	472.5463201
1305	472.2460173
1304	472.4255969
1303	472.7176135
1302	472.8781909
1301	472.6826015
1300	472.0677483
1299	471.1270323
1298	470.0046961
1297	469.0373112
1296	468.6094286
1295	469.0025531
1294	470.6380794
1293	473.7041113
1292	478.2808761
1291	484.3498039
1290	491.668727
1289	499.7588434
1288	508.1686876
1287	516.184158
1286	523.1538432
1285	528.4013138
1284	531.4569344
1283	531.8699848
1282	529.6263807
1281	524.883654
1280	517.9055242
1279	509.5020277
1278	500.2576981
1277	491.1186496
1276	482.8672065
1275	476.2442052
1274	471.7589572
1273	469.8388995
1272	470.5661167
1271	473.7788165
1270	479.1380512
1269	485.9566647
1268	493.418505
1267	500.6003
1266	506.6012791
1265	510.3929201
1264	511.5540009
1263	509.5467768
1262	504.4622236
1261	496.776135
1260	487.0792913
1259	476.3961961
1258	465.8152251
1257	456.4241053
1256	449.0807689
1255	444.754818
1254	443.694948
1253	446.2233899
1252	452.2398161
1251	461.2652377
1250	472.5554201
1249	485.3476036
1248	498.2917152
1247	510.4426174
1246	520.7313768
1245	528.1644554
1244	532.3170521
1243	532.9262238
1242	530.1743484
1241	524.5939412
1240	517.063785
1239	508.3931338
1238	499.615785
1237	491.7603143
1236	485.3727621
1235	481.1673349
1234	479.3741008
1233	479.9318457
1232	482.6489108
1231	487.1464992
1230	492.5166369
1229	498.239057
1228	503.3599866
1227	507.0817332
1226	508.8920273
1225	508.3860705
1224	505.3402037
1223	500.1281577
1222	493.1699529
1221	485.0581532
1220	476.8184681
1219	469.1857354
1218	462.8786394
1217	458.7290961
1216	456.9976509
1215	457.8918968
1214	461.3963471
1213	467.0980402
1212	474.3880403
1211	482.6936974
1210	491.0557208
1209	498.6304036
1208	504.8457654
1207	508.9836285
1206	510.7799627
1205	510.2899308
1204	507.677914
1203	503.3246097
1202	498.1492262
1201	492.5617776
1200	487.499148
1199	483.5591482
1198	481.2625202
1197	480.8456857
1196	482.6653495
1195	486.3572639
1194	491.7138079
1193	498.2833823
1192	505.1848141
1191	511.7350149
1190	517.1757561
1189	520.5455925
1188	521.3753056
1187	519.3578179
1186	514.2746984
1185	506.5110837
1184	496.7242327
1183	485.4815583
1182	474.0460332
1181	463.2916579
1180	454.2069705
1179	447.5946295
1178	444.2071092
1177	444.1007775
1176	447.6773637
1175	454.505421
1174	464.1130204
1173	475.8104135
1172	488.6108792
1171	501.3929074
1170	513.1260092
1169	522.8089704
1168	529.4468916
1167	532.7530709
1166	532.3906153
1165	528.6035383
1164	521.9049586
1163	513.1879006
1162	503.1447067
1161	493.1287854
1160	483.852736
1159	476.1803889
1158	470.860816
1157	468.1567834
1156	468.1952184
1155	470.9822797
1154	476.0152001
1153	482.686376
1152	490.3841312
1151	498.1435743
1150	505.0578512
1149	510.5646591
1148	513.779639
1147	514.5000837
1146	512.6542117
1145	508.4128066
1144	502.1979778
1143	494.863698
1142	486.8855507
1141	479.263248
1140	472.5760308
1139	467.3642464
1138	463.936581
1137	462.524061
1136	462.9196525
1135	464.9301374
1134	468.21821
1133	472.1638904
1132	476.3609685
1131	480.4057503
1130	483.8240835
1129	486.5565873
1128	488.5496429
1127	489.8561851
