time	insolation_65N
360	486.8435249
359	488.1175291
358	489.4510537
357	490.3379616
356	490.4557856
355	489.4306121
354	487.1337922
353	483.5413308
352	478.9202729
351	473.5482083
350	468.0525977
349	462.9229062
348	458.8640179
347	456.3217939
346	455.8633158
345	457.6633595
344	461.9283407
343	468.500831
342	477.1091071
341	487.2580575
340	498.2817452
339	509.4542704
338	519.8494625
337	528.783855
336	535.4364043
335	539.2812833
334	540.0149193
333	537.5744616
332	532.0700376
331	524.1348809
330	514.2277318
329	503.2596835
328	492.0841954
327	481.470421
326	472.2367032
325	465.0278564
324	460.2423186
323	458.1761688
322	458.9106981
321	462.1876171
320	467.6949834
319	474.9121836
318	482.9940142
317	491.271696
316	498.8671179
315	504.9667627
314	509.0032401
313	510.5728563
312	509.4186554
311	505.8135848
310	500.0548421
309	492.7585782
308	484.6882528
307	476.6798522
306	469.4144666
305	463.6968426
304	460.0536158
303	458.7796916
302	460.1788237
301	464.1569514
300	470.4362024
299	478.7324997
298	488.3688912
297	498.6651904
296	508.8897018
295	518.2756547
294	525.993942
293	531.6031935
292	534.5899176
291	534.7333324
290	532.1650838
289	527.1042421
288	519.8936856
287	511.3318588
286	501.9017402
285	492.2617848
284	483.204621
283	475.0579177
282	468.2992002
281	463.2809873
280	459.994781
279	458.4856458
278	458.7246636
277	460.3973481
276	463.2289957
275	467.095072
274	471.444761
273	476.1447361
272	480.9368591
271	485.5084131
270	489.7320985
269	493.5909444
268	496.766852
267	499.363708
266	501.3166389
265	502.44532
264	502.8379449
263	502.4824415
262	501.2975891
261	499.3873191
260	496.9884784
259	493.9934363
258	490.9197502
257	487.9215521
256	485.270731
255	483.3821764
254	482.5894664
253	482.9684045
252	484.9210068
251	488.366921
250	493.2155248
249	499.3264835
248	506.2959743
247	513.4735327
246	520.3766883
245	526.2036441
244	530.1559464
243	531.6857723
242	530.2959042
241	525.5302716
240	517.7068068
239	506.9392761
238	493.9201606
237	479.6234733
236	465.0654985
235	451.2314467
234	439.4533159
233	430.4579924
232	425.0045984
231	423.7038936
230	426.638232
229	433.6514969
228	444.5851944
227	458.4815376
226	474.4939665
225	491.5796288
224	508.277898
223	523.3931214
222	535.8763051
221	544.6064975
220	549.1239064
219	549.3045855
218	545.1714635
217	537.4309945
216	526.9742148
215	514.7113695
214	501.8170304
213	489.5058918
212	478.4779698
211	469.7922228
210	463.9065729
209	461.1485886
208	461.6502707
207	465.3538675
206	471.6708489
205	480.2446092
204	490.1658659
203	500.5357886
202	510.3731711
201	518.7874911
200	524.7384708
199	527.7235379
198	527.314873
197	523.3237461
196	516.1628784
195	506.3662271
194	494.6053454
193	482.0190166
192	469.4999753
191	458.0018273
190	448.4167609
189	441.4611036
188	437.4174374
187	436.8004513
186	439.4470621
185	445.2038757
184	453.7511077
183	464.5015702
182	476.6069062
181	489.5026009
180	502.1109777
179	513.656917
178	523.5151285
177	530.9248494
176	535.5972454
175	537.3914826
174	536.3468467
173	532.6930315
172	527.0428985
171	519.7689427
170	511.6008804
169	503.1507419
168	494.9374894
167	487.4343487
166	481.1307154
165	476.1235184
164	472.6679662
163	470.804411
162	470.4018177
161	471.3828004
160	473.5580378
159	476.6205291
158	480.3444188
157	484.438506
156	488.5612759
155	492.4293428
154	495.8365769
153	498.4025407
152	500.0305881
151	500.5145203
150	499.7423416
149	497.7175391
148	494.5291086
147	490.2691026
146	485.2608436
145	479.8079568
144	474.3096785
143	469.1959441
142	464.9862287
141	462.0251834
140	460.7584037
139	461.4913047
138	464.3564631
137	469.4580538
136	476.7010836
135	485.7247283
134	496.2202736
133	507.4756423
132	518.802156
131	529.3571414
130	538.3053668
129	544.7769352
128	548.16831
127	547.9698032
126	543.9713591
125	536.3723918
124	525.556893
123	512.2717045
122	497.4896577
121	482.2555027
120	467.6775067
119	454.8130835
118	444.5042613
117	437.4633974
116	434.1118097
115	434.5857917
114	438.8234959
113	446.3545875
112	456.6342819
111	468.7048826
110	481.6230243
109	494.2486514
108	505.5807123
107	514.625961
106	520.7961994
105	523.6673017
104	523.2013252
103	519.77509
102	513.8717894
101	506.2838023
100	497.9295814
99	489.6120605
98	482.1259475
97	476.2632985
96	472.3238269
95	470.7920756
94	471.6612002
93	474.8698963
92	480.125173
91	487.0412084
90	494.9530909
89	503.302545
88	511.3396356
87	518.3897451
86	523.8371451
85	527.2502019
84	528.2014914
83	526.6800246
82	522.7022487
81	516.5324198
80	508.6031464
79	499.5027926
78	489.7356045
77	480.0458505
76	470.9431945
75	462.9937703
74	456.5791571
73	452.0986261
72	449.5670254
71	449.2023239
70	450.8269054
69	454.2418908
68	459.2010029
67	465.3504706
66	472.1515422
65	479.3527056
64	486.3822127
63	492.9069645
62	498.6501057
61	503.3881778
60	506.9053839
59	509.3214979
58	510.6213674
57	510.859988
56	510.3954937
55	509.2689758
54	507.7088434
53	506.0062468
52	504.2293538
51	502.4470668
50	500.9855797
49	499.6091072
48	498.5327393
47	497.718065
46	497.1410646
45	496.6986006
44	496.5556559
43	496.4393323
42	496.433713
41	496.4991416
40	496.4791347
39	496.3189745
38	496.0401794
37	495.3476312
36	494.2869593
35	492.7610397
34	490.5977854
33	487.8455547
32	484.573515
31	480.6988092
30	476.5287049
29	472.2364852
28	468.0504838
27	464.2867178
26	461.4141172
25	459.4678341
24	458.9916521
23	460.0425687
22	462.7032698
21	467.0406666
20	472.938375
19	479.9958573
18	488.0303716
17	496.4965151
16	504.8019754
15	512.5329588
14	519.0956636
13	523.9860354
12	526.9641526
11	527.8690715
10	526.4895304
9	523.2868112
8	518.3885047
7	512.2282721
6	505.4720051
5	498.5725191
4	491.9673964
3	486.319406
2	481.7757209
1	478.5703513
0	476.9000623
